"Date","Index"
2000-01-31,9.58780765533447
2000-02-29,7.25020933151245
2000-03-31,7.82143831253052
2000-04-30,7.38202890482816
2000-05-31,6.97086191177368
2000-06-30,6.17671298980713
2000-07-31,6.61790561676025
2000-08-31,6.51352214813232
2000-09-30,6.97273191538724
2000-10-31,7.93143033981323
2000-11-30,9.95527935028076
2000-12-31,8.6505548613412
2001-01-31,9.67084407806396
2001-02-28,8.99503421783447
2001-03-31,9.10625358061357
2001-04-30,9.82249736785889
2001-05-31,9.11625957489014
2001-06-30,6.57533273242769
2001-07-31,7.37028694152832
2001-08-31,7.57855558395386
2001-09-30,7.30003207380121
2001-10-31,7.03261041641235
2001-11-30,8.67150211334229
2001-12-31,8.32551002502441
2002-01-31,9.09679126739502
2002-02-28,9.39280128479004
2002-03-31,9.32651864157783
2002-04-30,10.1375713348389
2002-05-31,10.7035427093506
2002-06-30,10.7646642866589
2002-07-31,9.17342948913574
2002-08-31,8.98282093471951
2002-09-30,8.45988464355469
2002-10-31,8.05253028869629
2002-11-30,8.63019021352132
2002-12-31,8.18903160095215
2003-01-31,7.52485990524292
2003-02-28,6.74325561523438
2003-03-31,5.68045902252197
2003-04-30,7.05843305587769
2003-05-31,6.99419496276162
2003-06-30,7.81764841079712
2003-07-31,8.34030246734619
2003-08-31,8.35189758028303
2003-09-30,10.4402666091919
2003-10-31,10.543704032898
2003-11-30,10.2856207847595
2003-12-31,9.81135654449463
2004-01-31,11.5393246737393
2004-02-29,12.1527577746998
2004-03-31,13.4103813171387
2004-04-30,13.9230241775513
2004-05-31,15.1968028810289
2004-06-30,15.5963172912598
2004-07-31,14.188291462985
2004-08-31,12.296290397644
2004-09-30,11.953070640564
2004-10-31,10.912889697335
2004-11-30,12.2585334777832
2004-12-31,13.7618675231934
2005-01-31,12.8419160842896
2005-02-28,12.7594747543335
2005-03-31,12.5045824050903
2005-04-30,12.7512923587452
2005-05-31,13.8684129714966
2005-06-30,13.372579574585
2005-07-31,13.6348424824801
2005-08-31,13.3878269195557
2005-09-30,13.5911273956299
2005-10-31,13.4028854370117
2005-11-30,12.7029523849487
2005-12-31,12.9117738405863
2006-01-31,10.8159990310669
2006-02-28,10.2412118911743
2006-03-31,10.4001665115356
2006-04-30,11.079676324671
2006-05-31,12.1480865478516
2006-06-30,11.275484085083
2006-07-31,10.7367525100708
2006-08-31,11.2067308425903
2006-09-30,12.1107134385542
2006-10-31,10.9937057495117
2006-11-30,12.1205444335938
2006-12-31,12.5484681129456
2007-01-31,13.5393190383911
2007-02-28,13.9507932662964
2007-03-31,14.830921086398
2007-04-30,16.0223903656006
2007-05-31,17.0694942474365
2007-06-30,17.7710983639672
2007-07-31,16.3113574981689
2007-08-31,16.5345039367676
2007-09-30,13.6830817135898
2007-10-31,12.1227464675903
2007-11-30,11.4724054336548
2007-12-31,11.7955722808838
2008-01-31,10.9414901733398
2008-02-29,11.1187410354614
2008-03-31,12.3070049285889
2008-04-30,13.7344608306885
2008-05-31,14.2241039276123
2008-06-30,11.5533514022827
2008-07-31,11.5224189758301
2008-08-31,11.4779552050999
2008-09-30,9.25768566131592
2008-10-31,6.77655935287476
2008-11-30,4.935578083992
2008-12-31,6.83567714691162
2009-01-31,7.02437357469039
2009-02-28,6.42150601473722
2009-03-31,7.36320304870605
2009-04-30,8.26498031616211
2009-05-31,10.5395216074857
2009-06-30,9.91715431213379
2009-07-31,8.9891414642334
2009-08-31,9.46093463897705
2009-09-30,9.96593475341797
2009-10-31,9.97490562092174
2009-11-30,9.51525115966797
2009-12-31,9.71315479278564
2010-01-31,11.0945280248469
2010-02-28,13.6301860809326
2010-03-31,15.1959524154663
2010-04-30,15.5450992584229
2010-05-31,13.8244705730014
2010-06-30,13.0370016098022
2010-07-31,13.9756003726612
2010-08-31,13.060492515564
2010-09-30,12.773455619812
2010-10-31,12.3381771607832
2010-11-30,12.6532382965088
2010-12-31,13.7642955780029
2011-01-31,13.1488151550293
2011-02-28,14.9239797592163
2011-03-31,15.372579574585
2011-04-30,15.8696028969505
2011-05-31,15.2694206237793
2011-06-30,15.5905504226685
2011-07-31,13.946250742132
2011-08-31,14.057165145874
2011-09-30,13.968653678894
2011-10-31,15.5296773910522
2011-11-30,16.2386608123779
2011-12-31,16.6659933725993
2012-01-31,15.0292310714722
2012-02-29,15.2788562774658
2012-03-31,15.553568536585
2012-04-30,14.7455892562866
2012-05-31,15.6827602386475
2012-06-30,15.0670457113357
2012-07-31,12.1527242660522
2012-08-31,12.7115430831909
2012-09-30,13.356490351937
2012-10-31,13.6450242996216
2012-11-30,15.6837873458862
2012-12-31,15.8719635009766
2013-01-31,18.0973072052002
2013-02-28,18.5887851715088
2013-03-31,20.2095880508423
2013-04-30,20.1959209442139
2013-05-31,20.5406265258789
2013-06-30,21.2879131862095
2013-07-31,22.6932830810547
2013-08-31,23.7954069773356
2013-09-30,23.2755222320557
2013-10-31,22.7734699249268
2013-11-30,26.3719642427233
2013-12-31,27.6044216156006
2014-01-31,30.8548984527588
2014-02-28,32.6089782714844
2014-03-31,36.378231048584
2014-04-30,34.6919784545898
2014-05-31,35.1874046325684
2014-06-30,31.086311340332
2014-07-31,30.8130474090576
2014-08-31,31.559223311288
2014-09-30,32.6675300598145
2014-10-31,33.4806976318359
2014-11-30,34.535338973999
2014-12-31,33.3454895019531
2015-01-31,32.8868865966797
2015-02-28,34.5948345877907
2015-03-31,31.9335708618164
2015-04-30,32.9341087341309
2015-05-31,35.2849301424893
2015-06-30,35.627197265625
2015-07-31,37.0646553039551
