"DATE","Value"
1959-01-01,196
1959-02-01,203
1959-03-01,201
1959-04-01,199
1959-05-01,201
1959-06-01,200
1959-07-01,195
1959-08-01,193
1959-09-01,199
1959-10-01,189
1959-11-01,187
1959-12-01,189
1960-01-01,187
1960-02-01,176
1960-03-01,172
1960-04-01,180
1960-05-01,172
1960-06-01,179
1960-07-01,172
1960-08-01,167
1960-09-01,161
1960-10-01,167
1960-11-01,169
1960-12-01,162
1961-01-01,159
1961-02-01,159
1961-03-01,168
1961-04-01,163
1961-05-01,162
1961-06-01,159
1961-07-01,165
1961-08-01,168
1961-09-01,170
1961-10-01,171
1961-11-01,178
1961-12-01,182
1962-01-01,188
1962-02-01,180
1962-03-01,184
1962-04-01,191
1962-05-01,199
1962-06-01,205
1962-07-01,205
1962-08-01,206
1962-09-01,214
1962-10-01,215
1962-11-01,208
1962-12-01,214
1963-01-01,220
1963-02-01,224
1963-03-01,227
1963-04-01,232
1963-05-01,233
1963-06-01,236
1963-07-01,243
1963-08-01,233
1963-09-01,238
1963-10-01,235
1963-11-01,234
1963-12-01,241
1964-01-01,244
1964-02-01,264
1964-03-01,266
1964-04-01,262
1964-05-01,275
1964-06-01,279
1964-07-01,274
1964-08-01,291
1964-09-01,291
1964-10-01,281
1964-11-01,287
1964-12-01,299
1965-01-01,286
1965-02-01,287
1965-03-01,290
1965-04-01,292
1965-05-01,296
1965-06-01,308
1965-07-01,300
1965-08-01,304
1965-09-01,304
1965-10-01,318
1965-11-01,326
1965-12-01,326
1966-01-01,331
1966-02-01,336
1966-03-01,349
1966-04-01,345
1966-05-01,337
1966-06-01,358
1966-07-01,352
1966-08-01,349
1966-09-01,359
1966-10-01,356
1966-11-01,359
1966-12-01,357
1967-01-01,356
1967-02-01,338
1967-03-01,336
1967-04-01,343
1967-05-01,332
1967-06-01,320
1967-07-01,339
1967-08-01,345
1967-09-01,366
1967-10-01,359
1967-11-01,375
1967-12-01,368
1968-01-01,382
1968-02-01,363
1968-03-01,427
1968-04-01,427
1968-05-01,408
1968-06-01,442
1968-07-01,456
1968-08-01,474
1968-09-01,514
1968-10-01,519
1968-11-01,587
1968-12-01,562
1969-01-01,564
1969-02-01,555
1969-03-01,551
1969-04-01,552
1969-05-01,547
1969-06-01,545
1969-07-01,541
1969-08-01,577
1969-09-01,536
1969-10-01,546
1969-11-01,566
1969-12-01,593
1970-01-01,608
1970-02-01,595
1970-03-01,660
1970-04-01,634
1970-05-01,705
1970-06-01,682
1970-07-01,703
1970-08-01,713
1970-09-01,767
1970-10-01,782
1970-11-01,762
1970-12-01,797
1971-01-01,758
1971-02-01,792
1971-03-01,792
1971-04-01,808
1971-05-01,820
1971-06-01,822
1971-07-01,816
1971-08-01,872
1971-09-01,870
1971-10-01,934
1971-11-01,809
1971-12-01,905
1972-01-01,894
1972-02-01,919
1972-03-01,928
1972-04-01,962
1972-05-01,959
1972-06-01,971
1972-07-01,984
1972-08-01,957
1972-09-01,1008
1972-10-01,1022
1972-11-01,964
1972-12-01,1061
1973-01-01,1103
1973-02-01,1147
1973-03-01,1191
1973-04-01,1205
1973-05-01,1246
1973-06-01,1281
1973-07-01,1288
1973-08-01,1264
1973-09-01,1304
1973-10-01,1232
1973-11-01,1181
1973-12-01,1247
1974-01-01,1277
1974-02-01,1274
1974-03-01,1397
1974-04-01,1372
1974-05-01,1375
1974-06-01,1388
1974-07-01,1324
1974-08-01,1273
1974-09-01,1224
1974-10-01,1181
1974-11-01,1081
1974-12-01,1061
1975-01-01,1061
1975-02-01,998
1975-03-01,946
1975-04-01,901
1975-05-01,891
1975-06-01,849
1975-07-01,800
1975-08-01,781
1975-09-01,724
1975-10-01,711
1975-11-01,693
1975-12-01,710
1976-01-01,799
1976-02-01,747
1976-03-01,761
1976-04-01,790
1976-05-01,804
1976-06-01,849
1976-07-01,876
1976-08-01,866
1976-09-01,922
1976-10-01,977
1976-11-01,905
1976-12-01,941
1977-01-01,905
1977-02-01,945
1977-03-01,965
1977-04-01,1013
1977-05-01,1031
1977-06-01,1018
1977-07-01,1041
1977-08-01,1096
1977-09-01,1117
1977-10-01,1101
1977-11-01,1122
1977-12-01,1142
1978-01-01,1010
1978-02-01,1088
1978-03-01,1077
1978-04-01,1086
1978-05-01,1113
1978-06-01,1153
1978-07-01,1173
1978-08-01,1188
1978-09-01,1195
1978-10-01,1252
1978-11-01,1332
1978-12-01,1325
1979-01-01,1215
1979-02-01,1235
1979-03-01,1263
1979-04-01,1240
1979-05-01,1244
1979-06-01,1271
1979-07-01,1246
1979-08-01,1236
1979-09-01,1246
1979-10-01,1240
1979-11-01,1291
1979-12-01,1297
1980-01-01,1292
1980-02-01,1327
1980-03-01,1315
1980-04-01,1363
1980-05-01,1347
1980-06-01,1346
1980-07-01,1415
1980-08-01,1385
1980-09-01,1392
1980-10-01,1433
1980-11-01,1433
1980-12-01,1452
1981-01-01,1424
1981-02-01,1375
1981-03-01,1455
1981-04-01,1497
1981-05-01,1462
1981-06-01,1476
1981-07-01,1521
1981-08-01,1491
1981-09-01,1481
1981-10-01,1464
1981-11-01,1464
1981-12-01,1482
1982-01-01,1474
1982-02-01,1500
1982-03-01,1489
1982-04-01,1467
1982-05-01,1519
1982-06-01,1491
1982-07-01,1496
1982-08-01,1474
1982-09-01,1465
1982-10-01,1463
1982-11-01,1444
1982-12-01,1454
1983-01-01,1488
1983-02-01,1476
1983-03-01,1512
1983-04-01,1492
1983-05-01,1509
1983-06-01,1551
1983-07-01,1565
1983-08-01,1581
1983-09-01,1618
1983-10-01,1628
1983-11-01,1653
1983-12-01,1669
1984-01-01,1758
1984-02-01,1752
1984-03-01,1693
1984-04-01,1761
1984-05-01,1800
1984-06-01,1826
1984-07-01,1798
1984-08-01,1807
1984-09-01,1825
1984-10-01,1841
1984-11-01,1887
1984-12-01,1960
1985-01-01,1874
1985-02-01,1891
1985-03-01,1931
1985-04-01,1925
1985-05-01,1940
1985-06-01,1904
1985-07-01,1896
1985-08-01,1933
1985-09-01,1945
1985-10-01,1981
1985-11-01,1998
1985-12-01,2037
1986-01-01,1966
1986-02-01,1990
1986-03-01,2045
1986-04-01,2066
1986-05-01,2065
1986-06-01,2057
1986-07-01,2123
1986-08-01,2186
1986-09-01,2208
1986-10-01,2221
1986-11-01,2192
1986-12-01,2247
1987-01-01,2335
1987-02-01,2392
1987-03-01,2328
1987-04-01,2401
1987-05-01,2417
1987-06-01,2502
1987-07-01,2553
1987-08-01,2547
1987-09-01,2576
1987-10-01,2569
1987-11-01,2625
1987-12-01,2644
1988-01-01,2603
1988-02-01,2578
1988-03-01,2577
1988-04-01,2637
1988-05-01,2648
1988-06-01,2640
1988-07-01,2631
1988-08-01,2597
1988-09-01,2570
1988-10-01,2621
1988-11-01,2640
1988-12-01,2641
1989-01-01,2662
1989-02-01,2629
1989-03-01,2653
1989-04-01,2667
1989-05-01,2659
1989-06-01,2644
1989-07-01,2656
1989-08-01,2700
1989-09-01,2713
1989-10-01,2717
1989-11-01,2765
1989-12-01,2748
1990-01-01,2754
1990-02-01,2793
