"date","adjusted"
2000-08-31,1.03276128742763
2000-09-30,0.974074632922619
2000-10-31,1.01996878018357
2000-11-30,1.05460218538715
2000-12-31,0.842990891060422
2001-01-31,0.895475864153926
2001-02-28,0.855538244275127
2001-03-31,0.820748850897488
2001-04-30,0.887987512073428
2001-05-31,0.885179454432815
2001-06-30,0.812302227524239
2001-07-31,0.82215291758885
2001-08-31,0.84867399096494
2001-09-30,0.717302538826894
2001-10-31,0.660842458950345
2001-11-30,0.606552293192521
2001-12-31,0.619032780807252
2002-01-31,0.607800312198164
2002-02-28,0.681747298021892
2002-03-31,0.842104383185787
2002-04-30,0.851482108117212
2002-05-31,0.790951668796192
2002-06-30,0.836609484180427
2002-07-31,0.843057756660396
2002-08-31,0.89596119165353
2002-09-30,0.950702029288068
2002-10-31,0.849297970711932
2002-11-30,0.843900162050248
2002-12-31,0.973478986135569
2003-01-31,1.04555379467168
2003-02-28,1.14196565820193
2003-03-31,0.968486791089676
2003-04-30,0.804992195045892
2003-05-31,0.926989091999778
2003-06-30,0.941965717713586
2003-07-31,0.952886166693348
2003-08-31,0.949609998842923
2003-09-30,0.911076488550254
2003-10-31,0.908268371397982
2003-11-30,0.948888497021144
2003-12-31,1.01466462502001
2004-01-31,1.04697207112422
2004-02-29,1.13615092546311
2004-03-31,1.11575660445516
2004-04-30,1.16630271319606
2004-05-31,1.27358299267868
2004-06-30,1.15600624396329
2004-07-31,1.35505605376132
2004-08-31,1.31419656582019
2004-09-30,1.54882997102377
2004-10-31,1.57628708164724
2004-11-30,1.53291738650978
2004-12-31,1.34368178269423
2005-01-31,1.50390021561074
2005-02-28,1.61466462502001
2005-03-31,1.72854923072254
2005-04-30,1.58143530544332
2005-05-31,1.62152893784186
2005-06-30,1.76287055678513
2005-07-31,1.90680758198015
2005-08-31,2.15101416794071
2005-09-30,2.06677065337256
2005-10-31,1.86458657547894
2005-11-30,1.78845557127325
2005-12-31,1.9017161178799
2006-01-31,2.11918876086609
2006-02-28,1.91606868359615
2006-03-31,2.07893912135796
2006-04-30,2.27475536515191
2006-05-31,2.22433705499413
2006-06-30,2.3082684904213
2006-07-31,2.32137295778302
2006-08-31,2.19219980682515
2006-09-30,1.93183947887696
2006-10-31,1.83244932730996
2006-11-30,1.96973486960698
2006-12-31,1.8765990889105
2007-01-31,1.81404058576136
2007-02-28,1.92792519146389
2007-03-31,2.04168211760662
2007-04-30,2.05023402959991
2007-05-31,1.99719200187105
2007-06-30,2.19390836955822
2007-07-31,2.44024963950812
2007-08-31,2.31014048917394
2007-09-30,2.51899029489271
2007-10-31,2.94945401028242
2007-11-30,2.76786275183103
2007-12-31,2.99469596385976
2008-01-31,2.8627145767263
2008-02-29,3.17753506278182
2008-03-31,3.16942290948931
2008-04-30,3.54009365944929
2008-05-31,3.96844429976499
2008-06-30,4.36817483097201
2008-07-31,3.8714510073241
2008-08-31,3.51370630877148
2008-09-30,3.14009365944929
2008-10-31,2.11575660445516
2008-11-30,1.54678628708544
2008-12-31,1.39157564854318
2009-01-31,1.28676786930893
2009-02-28,1.35186501695298
2009-03-31,1.54945401028242
2009-04-30,1.59500780495411
2009-05-31,2.10287910915158
2009-06-30,2.18065525907508
2009-07-31,2.16692663343139
2009-08-31,2.1828393369687
2009-09-30,2.20312019629326
2009-10-31,2.44230611358406
2009-11-30,2.41123246860909
2009-12-31,2.47613112322901
2010-01-31,2.33154170417479
2010-02-28,2.47518087351538
2010-03-31,2.61341666552603
2010-04-30,2.68798763109675
2010-05-31,2.27994463035226
2010-06-30,2.35975036049188
2010-07-31,2.48113743876859
2010-08-31,2.24399375603671
2010-09-30,2.49516390403626
2010-10-31,2.59124951383032
2010-11-30,2.62433705499413
2010-12-31,2.85117002897623
2011-01-31,2.87644320236999
2011-02-28,3.02558513351143
2011-03-31,3.32979730923984
2011-04-30,3.52578365899646
2011-05-31,3.20436815578724
2011-06-30,2.97722310266416
2011-07-31,2.949723500716
2011-08-31,2.77098282910096
2011-09-30,2.4711388091598
2011-10-31,2.90764445116265
2011-11-30,3.13135734787481
2011-12-31,3.11742080171859
2012-01-31,3.0726990858414
2012-02-29,3.34071769870794
2012-03-31,3.23902999674363
2012-04-30,3.27207504658275
2012-05-31,2.69984401994117
2012-06-30,2.58604865905637
2012-07-31,2.74758189250647
2012-08-31,3.0099845091151
2012-09-30,2.86176440275478
2012-10-31,2.6907956292257
2012-11-30,2.77410314441754
2012-12-31,2.86489865461992
2013-01-31,3.04180967814309
2013-02-28,2.87207504658275
2013-03-31,3.0135553012424
2013-04-30,2.91606868359615
2013-05-31,2.86957888954815
2013-06-30,3.06164477813671
2013-07-31,3.27706712260533
2013-08-31,3.37999666337964
2013-09-30,3.19282384608381
2013-10-31,3.00717627293951
2013-11-30,2.92009023025524
2013-12-31,3.07082684904213
2014-01-31,3.04180967814309
2014-02-28,3.20093599937632
2014-03-31,3.16942290948931
2014-04-30,3.11201248792657
2014-05-31,3.210027043721
2014-06-30,3.28767567097908
2014-07-31,3.06302653684397
2014-08-31,2.95045691776704
2014-09-30,2.84430595420102
2014-10-31,2.51294860632621
2014-11-30,2.12071766300095
2014-12-31,1.66209053746765
2015-01-31,1.49198699854191
2015-02-28,1.55006383166467
2015-03-31,1.48517939492116
2015-04-30,1.86053049883268
2015-05-31,1.86922425957082
2015-06-30,1.85553830378679
2015-07-31,1.47020280978348
2015-08-31,1.5351014644034
2015-09-30,1.40686431282185
2015-10-31,1.44478801487121
2015-11-30,1.2995320598235
2015-12-31,1.15569428384562
2016-01-31,0.995575116076139
