"TIME","Value"
1956-01-01,0.3745318
1956-02-01,0.3745318
1956-03-01,0.3745318
1956-04-01,0.7490637
1956-05-01,1.123595
1956-06-01,1.872659
1956-07-01,2.238806
1956-08-01,1.865672
1956-09-01,1.858736
1956-10-01,2.230483
1956-11-01,2.230483
1956-12-01,2.985075
1957-01-01,2.985075
1957-02-01,3.358209
1957-03-01,3.731343
1957-04-01,3.717472
1957-05-01,3.703704
1957-06-01,3.308824
1957-07-01,3.284672
1957-08-01,3.663004
1957-09-01,3.284672
1957-10-01,2.909091
1957-11-01,3.272727
1957-12-01,2.898551
1958-01-01,3.623188
1958-02-01,3.249098
1958-03-01,3.597122
1958-04-01,3.584229
1958-05-01,3.214286
1958-06-01,2.846975
1958-07-01,2.473498
1958-08-01,2.120141
1958-09-01,2.120141
1958-10-01,2.120141
1958-11-01,2.112676
1958-12-01,1.760563
1959-01-01,1.398601
1959-02-01,1.048951
1959-03-01,0.3472222
1959-04-01,0.3460208
1959-05-01,0.3460208
1959-06-01,0.6920415
1959-07-01,0.6896552
1959-08-01,1.038062
1959-09-01,1.384083
1959-10-01,1.730104
1959-11-01,1.37931
1959-12-01,1.730104
1960-01-01,1.034483
1960-02-01,1.730104
1960-03-01,1.730104
1960-04-01,1.724138
1960-05-01,1.724138
1960-06-01,1.718213
1960-07-01,1.369863
1960-08-01,1.369863
1960-09-01,1.023891
1960-10-01,1.360544
1960-11-01,1.360544
1960-12-01,1.360544
1961-01-01,1.706485
1961-02-01,1.360544
1961-03-01,1.360544
1961-04-01,1.016949
1961-05-01,1.016949
1961-06-01,0.6756757
1961-07-01,1.351351
1961-08-01,1.013514
1961-09-01,1.351351
1961-10-01,0.671141
1961-11-01,0.671141
1961-12-01,0.671141
1962-01-01,0.671141
1962-02-01,1.006711
1962-03-01,1.006711
1962-04-01,1.342282
1962-05-01,1.342282
1962-06-01,1.342282
1962-07-01,1
1962-08-01,1.337793
1962-09-01,1.333333
1962-10-01,1.333333
1962-11-01,1.333333
1962-12-01,1.333333
1963-01-01,1.333333
1963-02-01,0.9966778
1963-03-01,1.328904
1963-04-01,0.9933775
1963-05-01,0.9933775
1963-06-01,1.324503
1963-07-01,1.320132
1963-08-01,1.320132
1963-09-01,0.9868421
1963-10-01,1.315789
1963-11-01,1.315789
