"TIME","Value"
1963-12-01,1.644737
1964-01-01,1.644737
1964-02-01,1.644737
1964-03-01,1.311475
1964-04-01,1.311475
1964-05-01,1.311475
1964-06-01,1.30719
1964-07-01,1.302932
1964-08-01,0.9771987
1964-09-01,1.302932
1964-10-01,0.974026
1964-11-01,1.298701
1964-12-01,0.9708738
1965-01-01,0.9708738
1965-02-01,0.9708738
1965-03-01,1.294498
1965-04-01,1.618123
1965-05-01,1.618123
1965-06-01,1.935484
1965-07-01,1.607717
1965-08-01,1.935484
1965-09-01,1.607717
1965-10-01,1.92926
1965-11-01,1.602564
1965-12-01,1.923077
1966-01-01,1.923077
1966-02-01,2.564103
1966-03-01,2.555911
1966-04-01,2.866242
1966-05-01,2.866242
1966-06-01,2.531646
1966-07-01,2.848101
1966-08-01,3.481013
1966-09-01,3.481013
1966-10-01,3.785489
1966-11-01,3.785489
1966-12-01,3.45912
1967-01-01,3.45912
1967-02-01,2.8125
1967-03-01,2.803738
1967-04-01,2.47678
1967-05-01,2.786378
1967-06-01,2.777778
1967-07-01,2.769231
1967-08-01,2.446483
1967-09-01,2.752294
1967-10-01,2.431611
1967-11-01,2.735562
1967-12-01,3.039514
1968-01-01,3.647416
1968-02-01,3.951368
1968-03-01,3.939394
1968-04-01,3.927492
1968-05-01,3.915663
1968-06-01,4.204204
1968-07-01,4.491018
1968-08-01,4.477612
1968-09-01,4.464286
1968-10-01,4.747775
1968-11-01,4.733728
1968-12-01,4.719764
1969-01-01,4.398827
1969-02-01,4.678362
1969-03-01,5.247813
1969-04-01,5.523256
1969-05-01,5.507246
1969-06-01,5.475504
1969-07-01,5.444126
1969-08-01,5.714286
1969-09-01,5.698006
1969-10-01,5.665722
1969-11-01,5.932203
1969-12-01,6.197183
1970-01-01,6.179775
1970-02-01,6.145251
1970-03-01,5.817174
1970-04-01,6.060606
1970-05-01,6.043956
1970-06-01,6.010929
1970-07-01,5.978261
1970-08-01,5.405406
1970-09-01,5.660378
1970-10-01,5.630027
1970-11-01,5.6
1970-12-01,5.570292
1971-01-01,5.291005
1971-02-01,5
1971-03-01,4.712042
1971-04-01,4.155844
1971-05-01,4.404145
1971-06-01,4.639175
1971-07-01,4.358974
1971-08-01,4.615385
1971-09-01,4.081633
1971-10-01,3.807106
1971-11-01,3.282828
1971-12-01,3.266332
1972-01-01,3.266332
1972-02-01,3.508772
1972-03-01,3.5
1972-04-01,3.491272
1972-05-01,3.225806
1972-06-01,2.70936
1972-07-01,2.948403
1972-08-01,2.941176
1972-09-01,3.186275
1972-10-01,3.422983
1972-11-01,3.667482
1972-12-01,3.406326
1973-01-01,3.649635
1973-02-01,3.874092
1973-03-01,4.589372
1973-04-01,5.060241
1973-05-01,5.528846
1973-06-01,5.995204
1973-07-01,5.727923
1973-08-01,7.380952
1973-09-01,7.36342
1973-10-01,7.801418
1973-11-01,8.254717
1973-12-01,8.705882
1974-01-01,9.389671
1974-02-01,10.02331
1974-03-01,10.39261
1974-04-01,10.09174
1974-05-01,10.70615
1974-06-01,10.85973
1974-07-01,11.51241
1974-08-01,10.86475
1974-09-01,11.9469
1974-10-01,12.0614
1974-11-01,12.20044
1974-12-01,12.33766
1975-01-01,11.80258
1975-02-01,11.22881
1975-03-01,10.25105
1975-04-01,10.20833
1975-05-01,9.46502
1975-06-01,9.387755
1975-07-01,9.716599
1975-08-01,8.6
1975-09-01,7.905138
1975-10-01,7.436399
1975-11-01,7.378641
1975-12-01,6.936416
1976-01-01,6.71785
1976-02-01,6.285714
1976-03-01,6.072106
1976-04-01,6.04915
1976-05-01,6.203008
1976-06-01,5.970149
1976-07-01,5.350554
1976-08-01,5.709024
1976-09-01,5.494505
1976-10-01,5.464481
1976-11-01,4.882459
1976-12-01,4.864865
1977-01-01,5.215827
1977-02-01,5.913979
1977-03-01,6.440072
1977-04-01,6.951872
1977-05-01,6.725664
1977-06-01,6.866197
1977-07-01,6.830122
1977-08-01,6.620209
1977-09-01,6.597222
1977-10-01,6.390328
1977-11-01,6.724138
1977-12-01,6.701031
1978-01-01,6.837607
1978-02-01,6.42978
1978-03-01,6.554622
1978-04-01,6.5
1978-05-01,6.965174
1978-06-01,7.413509
1978-07-01,7.704918
1978-08-01,7.843137
1978-09-01,8.306189
1978-10-01,8.928572
1978-11-01,8.885299
1978-12-01,9.017714
1979-01-01,9.28
1979-02-01,9.856915
1979-03-01,10.09464
1979-04-01,10.48513
1979-05-01,10.85271
1979-06-01,10.88957
1979-07-01,11.26332
1979-08-01,11.81818
1979-09-01,12.18045
1979-10-01,12.07154
1979-11-01,12.61128
1979-12-01,13.29394
1980-01-01,13.90922
1980-02-01,14.18234
1980-03-01,14.75645
1980-04-01,14.73088
1980-05-01,14.40559
1980-06-01,14.38451
1980-07-01,13.1327
1980-08-01,12.87263
1980-09-01,12.60054
1980-10-01,12.76596
1980-11-01,12.64822
1980-12-01,12.5163
1981-01-01,11.82519
1981-02-01,11.40684
1981-03-01,10.48689
1981-04-01,10
1981-05-01,9.779951
1981-06-01,9.5526
1981-07-01,10.76179
1981-08-01,10.80432
1981-09-01,10.95238
1981-10-01,10.14151
1981-11-01,9.590643
1981-12-01,8.922364
1982-01-01,8.390804
1982-02-01,7.622298
1982-03-01,6.779661
1982-04-01,6.50954
1982-05-01,6.681514
1982-06-01,7.064018
1982-07-01,6.441048
1982-08-01,5.850488
1982-09-01,5.042919
1982-10-01,5.139186
1982-11-01,4.589114
1982-12-01,3.829787
1983-01-01,3.711559
1983-02-01,3.488372
1983-03-01,3.597884
1983-04-01,3.898841
1983-05-01,3.549061
1983-06-01,2.57732
1983-07-01,2.461539
1983-08-01,2.558854
1983-09-01,2.860061
1983-10-01,2.851324
1983-11-01,3.265306
1983-12-01,3.790984
1984-01-01,4.192229
1984-02-01,4.596527
1984-03-01,4.800817
1984-04-01,4.563895
1984-05-01,4.233871
1984-06-01,4.221106
1984-07-01,4.204204
1984-08-01,4.291417
1984-09-01,4.270109
1984-10-01,4.257426
1984-11-01,4.051383
1984-12-01,3.948667
1985-01-01,3.532875
1985-02-01,3.515625
1985-03-01,3.703704
1985-04-01,3.685742
1985-05-01,3.77176
1985-06-01,3.760849
1985-07-01,3.554275
1985-08-01,3.349282
1985-09-01,3.142857
1985-10-01,3.22887
1985-11-01,3.51377
1985-12-01,3.798671
1986-01-01,3.886256
1986-02-01,3.113208
1986-03-01,2.255639
1986-04-01,1.590271
1986-05-01,1.491146
1986-06-01,1.765799
1986-07-01,1.576994
1986-08-01,1.574074
1986-09-01,1.754386
1986-10-01,1.471941
1986-11-01,1.284404
1986-12-01,1.097896
1987-01-01,1.459854
1987-02-01,2.1043
1987-03-01,3.033088
1987-04-01,3.775322
1987-05-01,3.856749
1987-06-01,3.652968
1987-07-01,3.926941
1987-08-01,4.284412
1987-09-01,4.355717
1987-10-01,4.533092
1987-11-01,4.528986
1987-12-01,4.434389
1988-01-01,4.046762
1988-02-01,3.942652
1988-03-01,3.925067
1988-04-01,3.90417
1988-05-01,3.890363
1988-06-01,3.964758
1988-07-01,4.130053
1988-08-01,4.020979
1988-09-01,4.173913
1988-10-01,4.249783
1988-11-01,4.2461
1988-12-01,4.419411
1989-01-01,4.667243
1989-02-01,4.827586
1989-03-01,4.978541
1989-04-01,5.123826
1989-05-01,5.361702
1989-06-01,5.169491
1989-07-01,4.978903
1989-08-01,4.705883
1989-09-01,4.340568
1989-10-01,4.492513
1989-11-01,4.655029
1989-12-01,4.647303
1990-01-01,5.202312
1990-02-01,5.263158
1990-03-01,5.233034
1990-04-01,4.711617
1990-05-01,4.361874
1990-06-01,4.67365
1990-07-01,4.823151
1990-08-01,5.617978
1990-09-01,6.16
1990-10-01,6.289809
1990-11-01,6.274821
1990-12-01,6.106265
1991-01-01,5.651491
1991-02-01,5.3125
1991-03-01,4.895105
1991-04-01,4.88751
1991-05-01,4.95356
1991-06-01,4.69592
1991-07-01,4.447853
1991-08-01,3.799392
1991-09-01,3.391108
1991-10-01,2.921348
1991-11-01,2.989537
1991-12-01,3.064275
1992-01-01,2.600297
1992-02-01,2.818991
1992-03-01,3.185185
1992-04-01,3.180473
1992-05-01,3.023599
1992-06-01,3.088235
1992-07-01,3.157122
1992-08-01,3.147877
1992-09-01,2.988338
1992-10-01,3.202329
1992-11-01,3.047895
1992-12-01,2.900653
1993-01-01,3.258508
1993-02-01,3.246753
1993-03-01,3.086863
1993-04-01,3.225806
1993-05-01,3.221188
1993-06-01,2.99572
1993-07-01,2.775801
1993-08-01,2.76792
1993-09-01,2.689313
1993-10-01,2.750353
1993-11-01,2.676056
1993-12-01,2.748414
1994-01-01,2.524544
1994-02-01,2.515723
1994-03-01,2.506964
1994-04-01,2.361111
1994-05-01,2.288488
1994-06-01,2.493075
1994-07-01,2.770083
1994-08-01,2.900553
1994-09-01,2.963474
1994-10-01,2.608099
1994-11-01,2.674897
1994-12-01,2.674897
1995-01-01,2.804378
1995-02-01,2.862986
1995-03-01,2.853261
1995-04-01,3.052917
1995-05-01,3.186441
1995-06-01,3.04054
1995-07-01,2.762803
1995-08-01,2.61745
1995-09-01,2.543507
1995-10-01,2.809365
1995-11-01,2.60521
1995-12-01,2.53841
1996-01-01,2.727878
1996-02-01,2.650762
1996-03-01,2.840158
1996-04-01,2.896642
1996-05-01,2.890933
1996-06-01,2.754098
1996-07-01,2.95082
1996-08-01,2.877698
1996-09-01,3.002611
1996-10-01,2.992843
1996-11-01,3.255208
1996-12-01,3.322476
1997-01-01,3.044041
1997-02-01,3.034216
1997-03-01,2.761721
1997-04-01,2.495202
1997-05-01,2.234994
1997-06-01,2.297384
1997-07-01,2.229299
1997-08-01,2.225048
1997-09-01,2.154626
1997-10-01,2.084649
1997-11-01,1.828499
1997-12-01,1.702396
1998-01-01,1.571339
1998-02-01,1.441103
1998-03-01,1.375
1998-04-01,1.435705
1998-05-01,1.686446
1998-06-01,1.684342
1998-07-01,1.682243
1998-08-01,1.616915
1998-09-01,1.488834
1998-10-01,1.485149
1998-11-01,1.547988
1998-12-01,1.611903
1999-01-01,1.670792
1999-02-01,1.60593
1999-03-01,1.726264
1999-04-01,2.276923
1999-05-01,2.088452
1999-06-01,1.96319
1999-07-01,2.144608
1999-08-01,2.264382
1999-09-01,2.628362
1999-10-01,2.560976
1999-11-01,2.621951
1999-12-01,2.684564
2000-01-01,2.738892
2000-02-01,3.221884
2000-03-01,3.757576
2000-04-01,3.068592
2000-05-01,3.188929
2000-06-01,3.730445
2000-07-01,3.659268
2000-08-01,3.411131
2000-09-01,3.454437
2000-10-01,3.448276
2000-11-01,3.446227
2000-12-01,3.386809
2001-01-01,3.732228
2001-02-01,3.533569
2001-03-01,2.920561
2001-04-01,3.269119
2001-05-01,3.61516
2001-06-01,3.24826
2001-07-01,2.719908
2001-08-01,2.719908
2001-09-01,2.648244
2001-10-01,2.126437
2001-11-01,1.895462
2001-12-01,1.551724
2002-01-01,1.142204
2002-02-01,1.137656
2002-03-01,1.475596
2002-04-01,1.639344
2002-05-01,1.181767
2002-06-01,1.067416
2002-07-01,1.464789
2002-08-01,1.802817
2002-09-01,1.514302
2002-10-01,2.025886
2002-11-01,2.198422
2002-12-01,2.37691
2003-01-01,2.597403
2003-02-01,2.980877
2003-03-01,3.020134
2003-04-01,2.224694
2003-05-01,2.057842
2003-06-01,2.112285
2003-07-01,2.109939
2003-08-01,2.158273
2003-09-01,2.320442
2003-10-01,2.040816
2003-11-01,1.76503
2003-12-01,1.879491
2004-01-01,1.926252
2004-02-01,1.693064
2004-03-01,1.737242
2004-04-01,2.285093
2004-05-01,3.051771
2004-06-01,3.266195
2004-07-01,2.990756
2004-08-01,2.654388
2004-09-01,2.537797
2004-10-01,3.189189
2004-11-01,3.523035
2004-12-01,3.255562
2005-01-01,2.969762
2005-02-01,3.007519
2005-03-01,3.148346
2005-04-01,3.510638
2005-05-01,2.80275
2005-06-01,2.530311
2005-07-01,3.167899
2005-08-01,3.641161
2005-09-01,4.686677
2005-10-01,4.347826
2005-11-01,3.455497
2005-12-01,3.415659
2006-01-01,3.985317
2006-02-01,3.597497
2006-03-01,3.362649
2006-04-01,3.545735
2006-05-01,4.166667
2006-06-01,4.318766
2006-07-01,4.145343
2006-08-01,3.818737
2006-09-01,2.062374
2006-10-01,1.305221
2006-11-01,1.973684
2006-12-01,2.54065
2007-01-01,2.075643
2007-02-01,2.415199
2007-03-01,2.778779
2007-04-01,2.573697
2007-05-01,2.690864
2007-06-01,2.687038
2007-07-01,2.358231
2007-08-01,1.970083
2007-09-01,2.755052
2007-10-01,3.536175
2007-11-01,4.306203
2007-12-01,4.081269
2008-01-01,4.280294
2008-02-01,4.026556
2008-03-01,3.981456
2008-04-01,3.93689
2008-05-01,4.175543
2008-06-01,5.02179
2008-07-01,5.600123
2008-08-01,5.371855
2008-09-01,4.936927
2008-10-01,3.655186
2008-11-01,1.069575
2008-12-01,0.0914129
2009-01-01,0.0298465
2009-02-01,0.2361911
2009-03-01,-0.3835562
2009-04-01,-0.7368857
2009-05-01,-1.281436
2009-06-01,-1.426776
2009-07-01,-2.097161
2009-08-01,-1.484349
2009-09-01,-1.286206
2009-10-01,-0.1828483
2009-11-01,1.838296
2009-12-01,2.721331
2010-01-01,2.625709
2010-02-01,2.143332
2010-03-01,2.313959
2010-04-01,2.236447
2010-05-01,2.020986
2010-06-01,1.053349
2010-07-01,1.235193
2010-08-01,1.148105
2010-09-01,1.143683
2010-10-01,1.172188
2010-11-01,1.143161
2010-12-01,1.495723
2011-01-01,1.631847
2011-02-01,2.107585
2011-03-01,2.681603
2011-04-01,3.163631
2011-05-01,3.568646
2011-06-01,3.558828
2011-07-01,3.628716
2011-08-01,3.771208
2011-09-01,3.868357
2011-10-01,3.5252
2011-11-01,3.394378
2011-12-01,2.962419
2012-01-01,2.925217
2012-02-01,2.871099
2012-03-01,2.651398
2012-04-01,2.30274
2012-05-01,1.704254
2012-06-01,1.663994
2012-07-01,1.408451
2012-08-01,1.692379
2012-09-01,1.991282
2012-10-01,2.162344
2012-11-01,1.764134
2012-12-01,1.741022
2013-01-01,1.594865
2013-02-01,1.977924
2013-03-01,1.473896
2013-04-01,1.063085
2013-05-01,1.361965
2013-06-01,1.754417
2013-07-01,1.960682
2013-08-01,1.518368
2013-09-01,1.184925
2013-10-01,0.9636127
2013-11-01,1.237072
2013-12-01,1.501736
2014-01-01,1.578947
2014-02-01,1.126349
2014-03-01,1.512203
2014-04-01,1.952858
2014-05-01,2.127111
2014-06-01,2.072341
2014-07-01,1.992329
2014-08-01,1.699611
2014-09-01,1.657919
2014-10-01,1.66434
2014-11-01,1.322355
2014-12-01,0.7564933
2015-01-01,-0.08934832
2015-02-01,-0.0251298
2015-03-01,-0.07363739
2015-04-01,-0.1995174
2015-05-01,-0.03993275
2015-06-01,0.1237712
2015-07-01,0.1695698
2015-08-01,0.1950793
2015-09-01,-0.03612975
2015-10-01,0.1705744
2015-11-01,0.5017976
2015-12-01,0.7295198
2016-01-01,1.373087
2016-02-01,1.0178
2016-03-01,0.8525362
2016-04-01,1.12511
2016-05-01,1.019323
2016-06-01,0.9973265
2016-07-01,0.8271388
2016-08-01,1.062875
2016-09-01,1.463784
2016-10-01,1.635988
2016-11-01,1.692537
2016-12-01,2.074622
2017-01-01,2.500042
2017-02-01,2.737958
2017-03-01,2.380612
2017-04-01,2.19969
2017-05-01,1.874878
2017-06-01,1.633488
2017-07-01,1.727978
2017-08-01,1.938974
2017-09-01,2.232964
2017-10-01,2.041129
2017-11-01,2.202583
2017-12-01,2.109082
2018-01-01,2.070508
2018-02-01,2.211795
2018-03-01,2.359711
2018-04-01,2.462744
2018-05-01,2.801012
2018-06-01,2.871548
2018-07-01,2.949515
2018-08-01,2.69918
2018-09-01,2.276972
2018-10-01,2.52247
2018-11-01,2.176601
2018-12-01,1.910159
2019-01-01,1.551235
2019-02-01,1.520135
2019-03-01,1.862523
2019-04-01,1.99644
2019-05-01,1.790228
2019-06-01,1.648485
2019-07-01,1.811465
2019-08-01,1.74978
2019-09-01,1.711305
2019-10-01,1.764043
2019-11-01,2.051278
2019-12-01,2.28513
2020-01-01,2.486572
2020-02-01,2.334874
2020-03-01,1.539327
2020-04-01,0.3290967
2020-05-01,0.1179264
2020-06-01,0.6457331
2020-07-01,0.9860818
2020-08-01,1.309645
2020-09-01,1.371325
2020-10-01,1.182066
2020-11-01,1.174536
2020-12-01,1.362005
2021-01-01,1.39977
2021-02-01,1.676215
2021-03-01,2.619762
2021-04-01,4.159695
2021-05-01,4.992707
2021-06-01,5.391451
2021-07-01,5.365475
2021-08-01,5.251272
2021-09-01,5.390349
2021-10-01,6.221869
2021-11-01,6.809003
2021-12-01,7.036403
2022-01-01,7.479873
2022-02-01,7.871064
2022-03-01,8.542456
2022-04-01,8.25863
2022-05-01,8.581511
2022-06-01,9.059758
2022-07-01,8.524815
2022-08-01,8.262692
2022-09-01,8.20167
2022-10-01,7.745427
2022-11-01,7.110323
2022-12-01,6.454401
2023-01-01,6.410147
2023-02-01,6.035613
2023-03-01,4.984974
2023-04-01,4.93032
2023-05-01,4.047609
2023-06-01,2.969178
2023-07-01,3.17778
2023-08-01,3.665112
