"DATE","Value"
1959-01-01,536
1959-02-01,545
1959-03-01,554
1959-04-01,563
1959-05-01,574
1959-06-01,584
1959-07-01,594
1959-08-01,606
1959-09-01,618
1959-10-01,630
1959-11-01,643
1959-12-01,641
1960-01-01,639
1960-02-01,636
1960-03-01,639
1960-04-01,645
1960-05-01,649
1960-06-01,668
1960-07-01,687
1960-08-01,706
1960-09-01,713
1960-10-01,719
1960-11-01,723
1960-12-01,712
1961-01-01,699
1961-02-01,686
1961-03-01,709
1961-04-01,738
1961-05-01,765
1961-06-01,771
1961-07-01,770
1961-08-01,770
1961-09-01,782
1961-10-01,800
1961-11-01,817
1961-12-01,838
1962-01-01,857
1962-02-01,876
1962-03-01,889
1962-04-01,904
1962-05-01,917
1962-06-01,901
1962-07-01,881
1962-08-01,863
1962-09-01,867
1962-10-01,878
1962-11-01,886
1962-12-01,894
1963-01-01,898
1963-02-01,902
1963-03-01,906
1963-04-01,914
1963-05-01,921
1963-06-01,922
1963-07-01,921
1963-08-01,923
1963-09-01,934
1963-10-01,946
1963-11-01,959
1963-12-01,972
1964-01-01,999
1964-02-01,1014
1964-03-01,1023
1964-04-01,1038
1964-05-01,1050
1964-06-01,1065
1964-07-01,1088
1964-08-01,1112
1964-09-01,1130
1964-10-01,1149
1964-11-01,1167
1964-12-01,1171
1965-01-01,1171
1965-02-01,1173
1965-03-01,1197
1965-04-01,1226
1965-05-01,1256
1965-06-01,1280
1965-07-01,1296
1965-08-01,1314
1965-09-01,1333
1965-10-01,1350
1965-11-01,1368
1965-12-01,1383
1966-01-01,1392
1966-02-01,1407
1966-03-01,1459
1966-04-01,1534
1966-05-01,1591
1966-06-01,1486
1966-07-01,1336
1966-08-01,1212
1966-09-01,1332
1966-10-01,1515
1966-11-01,1701
1966-12-01,1741
1967-01-01,1720
1967-02-01,1702
1967-03-01,1696
1967-04-01,1719
1967-05-01,1743
1967-06-01,1788
1967-07-01,1822
1967-08-01,1862
1967-09-01,1886
1967-10-01,1909
1967-11-01,1930
1967-12-01,1966
1968-01-01,2027
1968-02-01,2057
1968-03-01,2099
1968-04-01,2144
1968-05-01,2183
1968-06-01,2226
1968-07-01,2274
1968-08-01,2304
1968-09-01,2335
1968-10-01,2364
1968-11-01,2389
1968-12-01,2428
1969-01-01,2488
1969-02-01,2548
1969-03-01,2621
1969-04-01,2708
1969-05-01,2787
1969-06-01,2859
1969-07-01,2900
1969-08-01,2936
1969-09-01,2997
1969-10-01,3072
1969-11-01,3114
1969-12-01,3127
1970-01-01,3113
1970-02-01,3069
1970-03-01,3083
1970-04-01,2806
1970-05-01,3042
1970-06-01,3123
1970-07-01,3080
1970-08-01,3148
1970-09-01,3193
1970-10-01,2988
1970-11-01,3066
1970-12-01,3195
1971-01-01,3189
1971-02-01,3186
1971-03-01,3088
1971-04-01,3403
1971-05-01,3360
1971-06-01,3430
1971-07-01,3568
1971-08-01,3597
1971-09-01,3640
1971-10-01,3711
1971-11-01,3740
1971-12-01,3849
1972-01-01,3942
1972-02-01,3933
1972-03-01,3995
1972-04-01,3967
1972-05-01,3975
1972-06-01,3980
1972-07-01,4070
1972-08-01,4106
1972-09-01,4259
1972-10-01,4317
1972-11-01,4527
1972-12-01,4463
1973-01-01,4480
1973-02-01,4561
1973-03-01,4467
1973-04-01,4575
1973-05-01,4634
1973-06-01,4694
1973-07-01,4702
1973-08-01,4786
1973-09-01,4831
1973-10-01,4896
1973-11-01,5059
1973-12-01,4858
1974-01-01,5016
1974-02-01,5289
1974-03-01,5388
1974-04-01,5550
1974-05-01,5646
1974-06-01,5742
1974-07-01,5604
1974-08-01,5688
1974-09-01,5640
1974-10-01,5684
1974-11-01,5501
1974-12-01,5764
1975-01-01,5630
1975-02-01,5651
1975-03-01,5776
1975-04-01,5445
1975-05-01,5733
1975-06-01,5943
1975-07-01,5924
1975-08-01,6023
1975-09-01,5951
1975-10-01,6128
1975-11-01,6175
1975-12-01,6298
1976-01-01,6493
1976-02-01,6651
1976-03-01,6645
1976-04-01,6921
1976-05-01,7028
1976-06-01,7142
1976-07-01,7241
1976-08-01,7241
1976-09-01,7436
1976-10-01,7504
1976-11-01,7519
1976-12-01,7717
1977-01-01,7848
1977-02-01,7782
1977-03-01,7902
1977-04-01,8135
1977-05-01,8186
1977-06-01,8018
1977-07-01,8357
1977-08-01,8306
1977-09-01,8552
1977-10-01,8738
1977-11-01,8831
1977-12-01,8840
1978-01-01,8730
1978-02-01,8733
1978-03-01,8995
1978-04-01,8944
1978-05-01,9161
1978-06-01,9095
1978-07-01,9140
1978-08-01,9330
1978-09-01,9474
1978-10-01,9960
1978-11-01,8922
1978-12-01,8668
1979-01-01,9202
1979-02-01,9691
1979-03-01,9899
1979-04-01,9821
1979-05-01,9773
1979-06-01,9986
1979-07-01,10236
1979-08-01,10638
1979-09-01,10719
1979-10-01,11103
1979-11-01,11805
1979-12-01,11739
1980-01-01,12162
1980-02-01,12313
1980-03-01,12443
1980-04-01,12341
1980-05-01,12299
1980-06-01,12809
1980-07-01,12794
1980-08-01,12945
1980-09-01,13032
1980-10-01,13335
1980-11-01,12879
1980-12-01,13866
1981-01-01,13707
1981-02-01,13798
1981-03-01,13600
1981-04-01,13813
1981-05-01,14062
1981-06-01,13303
1981-07-01,13417
1981-08-01,12433
1981-09-01,13291
1981-10-01,13069
1981-11-01,12917
1981-12-01,13115
1982-01-01,13042
1982-02-01,13040
1982-03-01,13127
1982-04-01,13378
1982-05-01,13354
1982-06-01,13737
1982-07-01,13672
1982-08-01,13820
1982-09-01,13762
1982-10-01,13505
1982-11-01,13628
1982-12-01,13690
1983-01-01,13700
1983-02-01,13264
1983-03-01,14215
1983-04-01,13788
1983-05-01,14856
1983-06-01,14748
1983-07-01,15396
1983-08-01,15650
1983-09-01,15862
1983-10-01,16137
1983-11-01,16567
1983-12-01,16611
1984-01-01,17040
1984-02-01,17458
1984-03-01,17512
1984-04-01,17653
1984-05-01,18494
1984-06-01,17866
1984-07-01,17046
1984-08-01,17334
1984-09-01,16294
1984-10-01,17818
1984-11-01,18159
1984-12-01,17946
1985-01-01,18271
1985-02-01,17888
1985-03-01,18112
1985-04-01,18179
1985-05-01,18262
1985-06-01,18354
1985-07-01,17700
1985-08-01,18030
1985-09-01,18043
1985-10-01,18607
1985-11-01,17388
1985-12-01,18216
1986-01-01,18094
1986-02-01,18044
1986-03-01,18870
1986-04-01,18492
1986-05-01,18399
1986-06-01,18994
1986-07-01,19092
1986-08-01,19233
1986-09-01,19251
1986-10-01,19405
1986-11-01,19693
1986-12-01,20271
1987-01-01,19753
1987-02-01,20319
1987-03-01,20235
1987-04-01,20576
1987-05-01,20233
1987-06-01,20850
1987-07-01,20962
1987-08-01,21104
1987-09-01,22000
1987-10-01,21867
1987-11-01,21789
1987-12-01,21532
1988-01-01,21343
1988-02-01,21858
1988-03-01,22618
1988-04-01,22537
1988-05-01,22805
1988-06-01,22835
1988-07-01,22879
1988-08-01,23605
1988-09-01,23479
1988-10-01,23902
1988-11-01,24394
1988-12-01,23585
1989-01-01,24602
1989-02-01,24902
1989-03-01,25484
1989-04-01,24867
1989-05-01,25090
1989-06-01,24833
1989-07-01,24241
1989-08-01,24877
1989-09-01,24756
1989-10-01,25300
1989-11-01,25289
1989-12-01,23844
1990-01-01,25426
1990-02-01,25599
1990-03-01,26220
1990-04-01,26158
1990-05-01,26231
1990-06-01,25527
1990-07-01,25237
1990-08-01,25924
1990-09-01,25971
1990-10-01,27136
1990-11-01,26683
1990-12-01,24582
1991-01-01,24588
1991-02-01,24166
1991-03-01,24152
1991-04-01,24735
1991-05-01,24852
1991-06-01,24808
1991-07-01,25294
1991-08-01,24916
1991-09-01,25696
1991-10-01,26197
1991-11-01,24565
1991-12-01,26861
1992-01-01,26301
1992-02-01,26185
1992-03-01,25870
1992-04-01,25752
1992-05-01,24156
1992-06-01,23605
1992-07-01,28919
1992-08-01,23400
1992-09-01,24556
1992-10-01,25038
1992-11-01,26242
1992-12-01,26948
1993-01-01,27551
1993-02-01,27733
1993-03-01,28419
1993-04-01,28040
1993-05-01,28128
1993-06-01,29368
1993-07-01,29209
1993-08-01,29667
1993-09-01,30323
1993-10-01,30325
1993-11-01,31483
1993-12-01,30447
1994-01-01,30553
1994-02-01,30439
1994-03-01,32483
1994-04-01,31301
1994-05-01,32256
1994-06-01,32293
1994-07-01,32567
1994-08-01,32922
1994-09-01,33128
1994-10-01,33928
1994-11-01,34003
1994-12-01,32311
1995-01-01,32741
1995-02-01,32985
1995-03-01,33709
1995-04-01,34099
1995-05-01,35753
1995-06-01,36624
1995-07-01,36497
1995-08-01,37310
1995-09-01,37329
1995-10-01,39288
1995-11-01,38724
1995-12-01,37572
1996-01-01,35789
1996-02-01,37592
1996-03-01,38620
1996-04-01,38579
1996-05-01,40780
1996-06-01,38394
1996-07-01,39370
1996-08-01,39374
1996-09-01,43178
1996-10-01,45262
1996-11-01,41349
1996-12-01,46269
1997-01-01,44912
1997-02-01,44839
1997-03-01,46945
1997-04-01,47360
1997-05-01,45341
1997-06-01,46896
1997-07-01,47249
1997-08-01,45757
1997-09-01,50083
1997-10-01,50340
1997-11-01,48117
1997-12-01,48067
1998-01-01,49067
1998-02-01,49872
1998-03-01,50305
1998-04-01,51098
1998-05-01,50009
1998-06-01,50709
1998-07-01,51745
1998-08-01,51356
1998-09-01,52570
1998-10-01,52050
1998-11-01,51760
1998-12-01,51720
1999-01-01,52301
1999-02-01,52537
1999-03-01,52549
1999-04-01,52284
1999-05-01,52995
1999-06-01,53882
1999-07-01,55221
1999-08-01,54981
1999-09-01,55803
1999-10-01,56517
1999-11-01,57656
1999-12-01,55264
2000-01-01,56051
2000-02-01,59557
2000-03-01,61007
2000-04-01,60263
2000-05-01,62369
2000-06-01,62357
2000-07-01,60721
2000-08-01,63358
2000-09-01,64613
2000-10-01,64523
2000-11-01,65591
2000-12-01,61391
2001-01-01,62657
2001-02-01,60445
2001-03-01,59095
2001-04-01,59191
2001-05-01,56857
2001-06-01,56161
2001-07-01,55768
2001-08-01,58419
2001-09-01,37580
2001-10-01,43604
2001-11-01,47146
2001-12-01,46762
2002-01-01,47324
2002-02-01,48770
2002-03-01,48321
2002-04-01,48635
2002-05-01,49465
2002-06-01,49268
2002-07-01,46970
2002-08-01,49866
2002-09-01,50537
2002-10-01,50666
2002-11-01,47435
2002-12-01,53750
2003-01-01,52426
2003-02-01,52269
2003-03-01,51851
2003-04-01,48289
2003-05-01,50985
2003-06-01,51832
2003-07-01,53593
2003-08-01,56615
2003-09-01,55981
2003-10-01,56256
2003-11-01,54940
2003-12-01,58638
2004-01-01,57019
2004-02-01,57923
2004-03-01,57588
2004-04-01,56395
2004-05-01,55567
2004-06-01,56317
2004-07-01,56922
2004-08-01,56799
2004-09-01,55463
2004-10-01,57032
2004-11-01,57214
2004-12-01,56463
2005-01-01,56868
2005-02-01,56150
2005-03-01,56669
2005-04-01,57650
2005-05-01,58301
2005-06-01,58552
2005-07-01,59706
2005-08-01,57562
2005-09-01,59792
2005-10-01,58324
2005-11-01,59697
2005-12-01,58298
2006-01-01,59490
2006-02-01,59358
2006-03-01,58358
2006-04-01,60126
2006-05-01,60161
2006-06-01,60688
2006-07-01,60997
2006-08-01,58595
2006-09-01,60481
2006-10-01,59428
2006-11-01,59927
2006-12-01,59739
