"IYE","IYT","IYK","Dates"
1,1,1,"2004-01-02"
1.02131949979102,0.997236550942064,1.00289222298922,"2004-01-05"
1.01868023318559,1.000369083612,1.00454548437695,"2004-01-06"
1.00771567794457,0.997053014694354,0.9985533515385,"2004-01-07"
1.00670024733042,0.994657949729605,0.996694372169364,"2004-01-08"
1.01522867771872,0.987288431628988,0.991735363625028,"2004-01-09"
1.0131978164904,0.993736858336861,0.993801492887277,"2004-01-12"
1.01664983553955,0.992631443737746,0.994628600885041,"2004-01-13"
1.0148222087804,0.998710786833622,0.998140304675013,"2004-01-14"
0.99796960235396,0.993921006663529,1.00103276631619,"2004-01-15"
1.00690357451603,0.999447904779401,0.997727377137501,"2004-01-16"
1.02741087816205,0.99005231788618,0.997313494992187,"2004-01-20"
1.03654827022619,1.00423759750964,1.00433893111371,"2004-01-21"
1.02944136852454,1.01529183094064,1.00392558593529,"2004-01-22"
1.04162468156534,1.0110544083107,1.00619874576467,"2004-01-23"
1.04751217645202,1.00589554452861,1.01962816832838,"2004-01-26"
1.04467023167617,0.999816288872588,1.01446278550977,"2004-01-27"
1.03147195160349,0.978813936128511,1.00475179898824,"2004-01-28"
1.028629265096,0.979735464720512,1.01239653692154,"2004-01-29"
1.01949224389768,0.950995122342779,1.01322298862644,"2004-01-30"
1.02395932269517,0.945468311666758,1.01218962568038,"2004-02-02"
1.02111635803831,0.939941588430589,1.01652903409799,"2004-02-03"
1.01380696359915,0.927230020059576,1.02210752344308,"2004-02-04"
1.00182734860979,0.932756918175449,1.02582595948525,"2004-02-05"
1.00812159058416,0.950626825689444,1.03223137783914,"2004-02-06"
1.02314694111726,0.953206476180117,1.03553730398471,"2004-02-09"
1.03553302504494,0.960022762342069,1.03719008806854,"2004-02-10"
1.05197962611533,0.96554957301809,1.04338787922541,"2004-02-11"
1.05279182226033,0.969050227461657,1.04194236436067,"2004-02-12"
1.04954294496388,0.96168070936104,1.03698293817542,"2004-02-13"
1.05888320063136,0.96168070936104,1.04276833876167,"2004-02-17"
1.04365470834556,0.95523254497272,1.04442088419354,"2004-02-18"
1.04771568907055,0.955601278825312,1.04090900141461,"2004-02-19"
1.04182754516868,0.951179270669447,1.04710750852733,"2004-02-20"
1.05340115480199,0.939204645364512,1.047727406969,"2004-02-23"
1.05543145973157,0.940678531496665,1.04380146305578,"2004-02-24"
1.06172588713886,0.94288901093549,1.04545460511753,"2004-02-25"
1.06335009399594,0.951732415168261,1.04979341690527,"2004-02-26"
1.06964442868677,0.960575119882222,1.05371912216653,"2004-02-27"
1.088324383723,0.959838176816145,1.06363630397338,"2004-03-01"
1.07634495416655,0.95578542715198,1.04958662499008,"2004-03-02"
1.07654809591925,0.952837742327525,1.05681801774497,"2004-03-03"
1.07167482633281,0.946942372678614,1.05082654119938,"2004-03-04"
1.08730960212402,0.952284685268562,1.06198244595577,"2004-03-05"
1.09157344645235,0.945099752693869,1.06094991829154,"2004-03-08"
1.08324862139903,0.93496713529472,1.05991727130133,"2004-03-09"
1.06395905567178,0.935151808260495,1.06094991829154,"2004-03-10"
1.04345165930931,0.937178139372652,1.03780986718422,"2004-03-11"
1.05644651947991,0.936072462453984,1.04008278836166,"2004-03-12"
1.05928929870386,0.925755521848464,1.02727230963181,"2004-03-15"
1.0586799661622,0.922071331157189,1.03078526634453,"2004-03-16"
1.07492379634571,0.940678531496665,1.04442088419354,"2004-03-17"
1.08162413639258,0.930914210750852,1.04194236436067,"2004-03-18"
1.06213170706199,0.91986058939881,1.03615720242637,"2004-03-19"
1.05157343532638,0.908807055486619,1.02541285295878,"2004-03-22"
1.04365470834556,0.913781071423231,1.01962816832838,"2004-03-23"
1.02477142612371,0.911938538878337,1.02376018820093,"2004-03-24"
1.01807090064393,0.935335869147312,1.03636387501559,"2004-03-25"
1.03337254621266,0.938009954677302,1.03470548261092,"2004-03-26"
1.0366317150356,0.949813547633252,1.04631291685784,"2004-03-29"
1.05639450554871,0.94907546784911,1.0550176274297,"2004-03-30"
1.06413679311584,0.955346304219156,1.05398128133426,"2004-03-31"
1.05150473243329,0.962908189992457,1.06496678859793,"2004-04-01"
1.05883971661401,0.980060303767792,1.06745413855297,"2004-04-02"
1.06556286490879,0.972314182227973,1.06807654284011,"2004-04-05"
1.06556286490879,0.985593060353696,1.07470879987304,"2004-04-06"
1.06658154059887,0.977293531995509,1.07201477732878,"2004-04-07"
1.07615757421118,0.965674524565483,1.07367257310357,"2004-04-08"
1.09571648123994,0.966227581624445,1.07118510382255,"2004-04-12"
1.08288081522241,0.956637528502112,1.0664179117835,"2004-04-13"
1.08471456126759,0.954793334600045,1.06849096195232,"2004-04-14"
1.10182853538041,0.963830243223565,1.07263610768215,"2004-04-15"
1.11038617145201,0.970100817274057,1.07823297322743,"2004-04-16"
1.10977452099898,0.972867414166637,1.0830000459405,"2004-04-19"
1.08899296207934,0.967518631027699,1.07367257310357,"2004-04-20"
1.08389949091249,0.971023045384868,1.07781807681132,"2004-04-21"
1.10386616490994,0.99131014014597,1.09274205721561,"2004-04-22"
1.0971429238987,0.994814292183586,1.09046137984978,"2004-04-23"
1.10264397660133,0.990388436674267,1.08486534958633,"2004-04-26"
1.12036932301782,0.984854980569553,1.08797426854669,"2004-04-27"
1.10651451772794,0.979506722069722,1.07761080759223,"2004-04-28"
1.08288081522241,0.960695262237797,1.08196358051908,"2004-04-29"
1.08960451981592,0.961248231856909,1.08610920355281,"2004-04-30"
1.11262666458487,0.967887627199845,1.09170511449029,"2004-05-03"
