"Date","Production"
1946-09-15,4790
1946-10-15,4785
1946-11-15,4822
1946-12-15,4725
1947-01-15,4672
1947-02-15,4811
1947-03-15,4909
1947-04-15,4980
1947-05-15,5034
1947-06-15,5102
1947-07-15,5141
1947-08-15,5176
1947-09-15,5256
1947-10-15,5324
1947-11-15,5290
1947-12-15,5340
1948-01-15,5293
1948-02-15,5365
1948-03-15,5415
1948-04-15,5491
1948-05-15,5507
1948-06-15,5548
1948-07-15,5528
1948-08-15,5581
1948-09-15,5441
1948-10-15,5644
1948-11-15,5693
1948-12-15,5722
1949-01-15,5388
1949-02-15,5382
1949-03-15,5239
1949-04-15,5011
1949-05-15,4976
1949-06-15,4909
1949-07-15,4695
1949-08-15,4786
1949-09-15,4943
1949-10-15,5015
1949-11-15,5217
1949-12-15,5027
1950-01-15,4933
1950-02-15,4969
1950-03-15,4881
1950-04-15,4972
1950-05-15,5147
1950-06-15,5377
1950-07-15,5486
1950-08-15,5684
1950-09-15,5890
1950-10-15,5904
1950-11-15,5893
1950-12-15,5725
1951-01-15,5917
1951-02-15,5934
1951-03-15,6057
1951-04-15,6129
1951-05-15,6181
1951-06-15,6135
1951-07-15,6149
1951-08-15,6243
1951-09-15,6267
1951-10-15,6392
1951-11-15,6283
1951-12-15,6193
1952-01-15,6221
1952-02-15,6373
1952-03-15,6359
1952-04-15,6431
1952-05-15,5089
1952-06-15,6190
1952-07-15,6096
1952-08-15,6218
1952-09-15,6520
1952-10-15,6503
1952-11-15,6461
1952-12-15,6642
1953-01-15,6555
1953-02-15,6542
1953-03-15,6517
1953-04-15,6398
1953-05-15,6391
1953-06-15,6588
1953-07-15,6604
1953-08-15,6596
1953-09-15,6552
1953-10-15,6249
1953-11-15,6271
1953-12-15,6237
1954-01-15,6240
1954-02-15,6380
1954-03-15,6508
1954-04-15,6617
1954-05-15,6472
1954-06-15,6499
1954-07-15,6261
1954-08-15,6142
1954-09-15,6144
1954-10-15,6120
1954-11-15,6346
1954-12-15,6391
1955-01-15,6761
1955-02-15,6834
1955-03-15,6886
1955-04-15,6889
1955-05-15,6680
1955-06-15,6595
1955-07-15,6633
1955-08-15,6665
1955-09-15,6735
1955-10-15,6834
1955-11-15,7015
1955-12-15,7157
1956-01-15,7198
1956-02-15,7210
1956-03-15,7279
1956-04-15,7147
