"date","ALB","SQM","MALRY","LTHM","SGML","GNENF","PILBF"
2000-03-15,5.99315166473389,1.22273051738739,NA,NA,NA,NA,NA
2000-03-16,6.44915390014648,1.220055103302,NA,NA,NA,NA,NA
2000-03-17,6.57943868637085,1.19597470760345,NA,NA,NA,NA,NA
2000-03-18,6.52021806890314,1.20108263600956,NA,NA,NA,NA,NA
2000-03-19,6.67123139988292,1.19439367272637,NA,NA,NA,NA,NA
2000-03-20,6.81829690933228,1.19329905509949,NA,NA,NA,NA,NA
2000-03-21,6.86172437667847,1.17724561691284,NA,NA,NA,NA,NA
2000-03-22,6.5360107421875,1.18794798851013,NA,NA,NA,NA,NA
2000-03-23,6.49258232116699,1.19865036010742,NA,NA,NA,NA,NA
2000-03-24,6.55772304534912,1.220055103302,NA,NA,NA,NA,NA
2000-03-25,6.52515214139765,1.20619055357846,NA,NA,NA,NA,NA
2000-03-26,6.489619363438,1.20497426119718,NA,NA,NA,NA,NA
2000-03-27,6.55772304534912,1.20935213565826,NA,NA,NA,NA,NA
2000-03-28,6.36229276657104,1.19865036010742,NA,NA,NA,NA,NA
2000-03-29,6.23200988769531,1.19329905509949,NA,NA,NA,NA,NA
2000-03-30,6.64458322525024,1.18794798851013,NA,NA,NA,NA,NA
2000-03-31,7.209153175354,1.16654360294342,NA,NA,NA,NA,NA
2000-04-01,6.89725752310319,1.16386797211387,NA,NA,NA,NA,NA
2000-04-02,6.93575156818737,1.15134146538648,NA,NA,NA,NA,NA
2000-04-03,6.94858407974243,1.11838328838348,NA,NA,NA,NA,NA
2000-04-04,7.03543758392334,1.14246368408203,NA,NA,NA,NA,NA
2000-04-05,6.79658317565918,1.17724561691284,NA,NA,NA,NA,NA
2000-04-06,6.90515613555908,1.22273051738739,NA,NA,NA,NA,NA
2000-04-07,7.05715227127075,1.24413502216339,NA,NA,NA,NA,NA
2000-04-08,6.95746547525579,1.21604151075537,NA,NA,NA,NA,NA
2000-04-09,6.93081652034413,1.20643373511054,NA,NA,NA,NA,NA
2000-04-10,6.88343858718872,1.2147034406662,NA,NA,NA,NA,NA
2000-04-11,6.94858407974243,1.19865036010742,NA,NA,NA,NA,NA
2000-04-12,6.92687129974365,1.155841588974,NA,NA,NA,NA,NA
2000-04-13,6.92687129974365,1.11838328838348,NA,NA,NA,NA,NA
2000-04-14,6.90515613555908,1.09430372714996,NA,NA,NA,NA,NA
2000-04-15,6.85383051091974,1.10330314527858,NA,NA,NA,NA,NA
2000-04-16,6.7906604680148,1.08810105648908,NA,NA,NA,NA,NA
2000-04-17,6.77486658096313,1.07289898395538,NA,NA,NA,NA,NA
2000-04-18,6.57943868637085,1.07557451725006,NA,NA,NA,NA,NA
2000-04-19,6.77486658096313,1.09162771701813,NA,NA,NA,NA,NA
2000-04-20,6.92687129974365,1.09965479373932,NA,NA,NA,NA,NA
2000-04-21,6.89309106932746,1.09133066071404,NA,NA,NA,NA,NA
2000-04-22,7.01062331880842,1.08914348057338,NA,NA,NA,NA,NA
2000-04-23,7.14159780078464,1.08508766359753,NA,NA,NA,NA,NA
2000-04-24,7.14400911331177,1.08627665042877,NA,NA,NA,NA,NA
2000-04-25,7.33944034576416,1.08360135555267,NA,NA,NA,NA,NA
2000-04-26,7.05715227127075,1.07825028896332,NA,NA,NA,NA,NA
2000-04-27,7.29601240158081,1.05952143669128,NA,NA,NA,NA,NA
2000-04-28,7.27429723739624,1.05952143669128,NA,NA,NA,NA,NA
2000-04-29,7.30884177034551,1.06129844080318,NA,NA,NA,NA,NA
2000-04-30,7.37003562667153,1.05764557556673,NA,NA,NA,NA,NA
2000-05-01,7.36114931106567,1.0582994222641,NA,NA,NA,NA,NA
2000-05-02,7.40458297729492,1.06107676029205,NA,NA,NA,NA,NA
2000-05-03,7.70858335494995,1.03885531425476,NA,NA,NA,NA,NA
2000-05-04,7.46972465515137,1.04441070556641,NA,NA,NA,NA,NA
2000-05-05,7.53487014770508,1.04718863964081,NA,NA,NA,NA,NA
2000-05-06,7.56053126942028,1.04529459909959,NA,NA,NA,NA,NA
2000-05-07,7.59606339714744,1.04289564761249,NA,NA,NA,NA,NA
2000-05-08,7.64343929290771,1.04441070556641,NA,NA,NA,NA,NA
2000-05-09,7.64343929290771,1.04441070556641,NA,NA,NA,NA,NA
2000-05-10,7.49144268035889,1.03607761859894,NA,NA,NA,NA,NA
2000-05-11,7.6217246055603,1.02218925952911,NA,NA,NA,NA,NA
2000-05-12,7.60001230239868,1.07774245738983,NA,NA,NA,NA,NA
2000-05-13,7.63653087615967,1.06814712285995,NA,NA,NA,NA,NA
2000-05-14,7.6937772360715,1.08190938017585,NA,NA,NA,NA,NA
2000-05-15,7.6217246055603,1.08885371685028,NA,NA,NA,NA,NA
2000-05-16,7.92572355270386,1.10829734802246,NA,NA,NA,NA,NA
2000-05-17,7.75201225280762,1.09996449947357,NA,NA,NA,NA,NA
2000-05-18,7.94744253158569,1.06663227081299,NA,NA,NA,NA,NA
2000-05-19,7.90400838851929,1.0277441740036,NA,NA,NA,NA,NA
2000-05-20,7.94546497951854,1.03822391683405,NA,NA,NA,NA,NA
2000-05-21,8.00369882583618,1.01814891804348,NA,NA,NA,NA,NA
2000-05-22,8.01257991790771,1.02218925952911,NA,NA,NA,NA,NA
2000-05-23,8.07772731781006,0.997189879417419,NA,NA,NA,NA,NA
2000-05-24,8.14286994934082,0.961080551147461,NA,NA,NA,NA,NA
2000-05-25,8.12115478515625,0.966635763645172,NA,NA,NA,NA,NA
2000-05-26,7.79544115066528,0.977746307849884,NA,NA,NA,NA,NA
2000-05-27,7.93296517266168,0.97743774122662,NA,NA,NA,NA,NA
2000-05-28,7.87299299240112,0.985285776002066,NA,NA,NA,NA,NA
2000-05-29,7.82801387045119,0.995955536762873,NA,NA,NA,NA,NA
2000-05-30,7.96915912628174,0.988856911659241,NA,NA,NA,NA,NA
2000-05-31,7.64343929290771,1.00830101966858,NA,NA,NA,NA,NA
2000-06-01,7.49144268035889,1.01663386821747,NA,NA,NA,NA,NA
2000-06-02,7.88229703903198,1.0277441740036,NA,NA,NA,NA,NA
2000-06-03,7.72042757814581,1.01814879612489,NA,NA,NA,NA,NA
2000-06-04,7.67995977401733,1.01549741625786,NA,NA,NA,NA,NA
2000-06-05,7.60001230239868,1.03329980373383,NA,NA,NA,NA,NA
2000-06-06,7.6217246055603,0.991634786128998,NA,NA,NA,NA,NA
2000-06-07,7.92572355270386,0.988856911659241,NA,NA,NA,NA,NA
2000-06-08,7.66515827178955,0.977746307849884,NA,NA,NA,NA,NA
2000-06-09,7.68686389923096,0.988856911659241,NA,NA,NA,NA,NA
2000-06-10,7.74234622175043,0.975726149298928,NA,NA,NA,NA,NA
2000-06-11,7.77285467494618,0.962847858667374,NA,NA,NA,NA,NA
2000-06-12,7.86058616638184,0.961080551147461,NA,NA,NA,NA,NA
2000-06-13,7.81170654296875,0.944413840770721,NA,NA,NA,NA,NA
2000-06-14,7.6371431350708,0.941636264324188,NA,NA,NA,NA,NA
2000-06-15,7.59350538253784,0.933303415775299,NA,NA,NA,NA,NA
2000-06-16,7.57168388366699,0.924970328807831,NA,NA,NA,NA,NA
2000-06-17,7.56176430528814,0.933934623544866,NA,NA,NA,NA,NA
2000-06-18,7.4943182034926,0.937343581156297,NA,NA,NA,NA,NA
2000-06-19,7.54985952377319,0.933303415775299,NA,NA,NA,NA,NA
2000-06-20,7.39711570739746,0.94719135761261,NA,NA,NA,NA,NA
2000-06-21,7.33165979385376,0.958302676677704,NA,NA,NA,NA,NA
2000-06-22,7.1134524345398,0.941636264324188,NA,NA,NA,NA,NA
2000-06-23,7.09163284301758,0.927747786045074,NA,NA,NA,NA,NA
2000-06-24,7.16403698921204,0.934565798802809,NA,NA,NA,NA,NA
2000-06-25,7.19775973666798,0.93305073001168,NA,NA,NA,NA,NA
2000-06-26,7.15709352493286,0.922192513942719,NA,NA,NA,NA,NA
2000-06-27,7.06981325149536,0.933303415775299,NA,NA,NA,NA,NA
2000-06-28,7.59350538253784,0.952746629714966,NA,NA,NA,NA,NA
2000-06-29,7.70260620117188,0.958302676677704,NA,NA,NA,NA,NA
2000-06-30,6.89524936676025,0.988856911659241,NA,NA,NA,NA,NA
2000-07-01,7.29892799854279,0.98163495361805,NA,NA,NA,NA,NA
2000-07-02,7.42136481073168,0.997807224591573,NA,NA,NA,NA,NA
2000-07-03,7.52804327011108,1.00274527072906,NA,NA,NA,NA,NA
2000-07-04,7.55745157988175,1.02653685341711,NA,NA,NA,NA,NA
2000-07-05,7.6371431350708,1.03885531425476,NA,NA,NA,NA,NA
2000-07-06,7.50621891021729,1.03607761859894,NA,NA,NA,NA,NA
2000-07-07,7.7898850440979,1.07218778133392,NA,NA,NA,NA,NA
2000-07-08,7.72754219600133,1.07099713030316,NA,NA,NA,NA,NA
2000-07-09,7.77005069906061,1.08380323648453,NA,NA,NA,NA,NA
2000-07-10,7.83352994918823,1.09440875053406,NA,NA,NA,NA,NA
2000-07-11,7.70260620117188,1.10551953315735,NA,NA,NA,NA,NA
2000-07-12,7.92081165313721,1.10274231433868,NA,NA,NA,NA,NA
2000-07-13,7.81170654296875,1.06107676029205,NA,NA,NA,NA,NA
2000-07-14,7.76806211471558,1.03329980373383,NA,NA,NA,NA,NA
2000-07-15,7.7879015749151,1.05084989287636,NA,NA,NA,NA,NA
2000-07-16,7.78195101564581,1.04365327683362,NA,NA,NA,NA,NA
2000-07-17,7.7898850440979,1.04718863964081,NA,NA,NA,NA,NA
2000-07-18,7.74624729156494,1.04718863964081,NA,NA,NA,NA,NA
2000-07-19,7.74624729156494,1.01385617256165,NA,NA,NA,NA,NA
2000-07-20,7.7898850440979,1.00830101966858,NA,NA,NA,NA,NA
2000-07-21,8.24811553955078,0.997189879417419,NA,NA,NA,NA,NA
2000-07-22,8.03288611498746,0.988856987519698,NA,NA,NA,NA,NA
2000-07-23,8.0566896091808,0.967014277523214,NA,NA,NA,NA,NA
2000-07-24,7.87716436386108,0.966635763645172,NA,NA,NA,NA,NA
2000-07-25,8.31357860565186,0.936080574989319,NA,NA,NA,NA,NA
