"DATE","Aluminum","Cobalt","Copper","Nickel","Zinc","Lithium"
2012-06-01,1885.51315789474,28831.9078947368,7428.28947368421,16603.6842105263,1855.93421052632,63643.2169733138
2012-07-01,1876.25,28394.0795454545,7584.26136363636,16128.4090909091,1847.75,63568.8318179318
2012-08-01,1843.32727272727,29050.3636363636,7510.43181818182,15703.9886363636,1816.31818181818,63682.9777055001
2012-09-01,2064.12,29221.25,8087.7425,17287.9625,2009.85,64069.570205127
2012-10-01,1974.30434782609,26896.7391304348,8062.03260869565,17168.7391304348,1903.95869565217,64650.8020830951
2012-11-01,1948.82954545455,23563.4090909091,7711.22727272727,16335.3636363636,1912.39772727273,64970.6706823706
2012-12-01,2086.76315789474,23976,7966.48684210526,17448.5,2040.42894736842,64966.8859304975
2013-01-01,2037.60681818182,25518.0909090909,8053.73863636364,17494.0681818182,2031.40909090909,65091.6118038133
2013-02-01,2053.595,25441.325,8060.925,17690.1,2128.6875,64976.6254066648
2013-03-01,1911.2825,25316.975,7652.375,16731.7,1929.15,65155.5126942537
2013-04-01,1861.02380952381,26209.4523809524,7221.1619047619,15629.3095238095,1855.6,65464.6714111582
2013-05-01,1832.57142857143,27984.380952381,7248.71428571429,14948.2261904762,1831.0119047619,65950.201268535
2013-06-01,1814.5375,30047.5375,7000.2375,14280.275,1839.0125,66020.6709760695
2013-07-01,1769.60869565217,29290.0434782609,6906.64130434783,13750.3152173913,1837.61956521739,66023.4433310302
2013-08-01,1816.23571428571,26803.4285714286,7186.25,14308.2619047619,1896.39285714286,66157.0867338597
2013-09-01,1761.30476190476,28680.4285714286,7159.26904761905,13801.3928571429,1846.88095238095,66172.3533243691
2013-10-01,1814.58260869565,27037.9565217391,7203.02173913044,14117.652173913,1884.83695652174,66349.8029423048
2013-11-01,1747.96428571429,26172.4761904762,7070.65476190476,13684.0119047619,1866.41666666667,66467.2874917514
2013-12-01,1739.81,26587.775,7214.9,13924.55,1974.975,66673.8181845919
2014-01-01,1727.41136363636,28134.5681818182,7291.46590909091,14101.25,2036.93181818182,66925.9739634489
2014-02-01,1695.165,31081.85,7149.2125,14203.55,2034.525,66601.1971131601
2014-03-01,1705.36666666667,30699.4285714286,6650.03571428571,15678.0952380952,2007.90476190476,65609.6741586396
2014-04-01,1810.675,29771.85,6673.5625,17373.6,2027.2125,62763.4520615262
2014-05-01,1751.05,29993.225,6891.125,19401.075,2058.975,62513.2677726994
2014-06-01,1838.95238095238,30458.5952380952,6821.14285714286,18628.8095238095,2128.09523809524,62586.7872521837
2014-07-01,1948.30434782609,31697.1956521739,7113.38043478261,19117.652173913,2310.61956521739,62910.2124707572
2014-08-01,2030.4925,32341.5565,7001.8375,18600.2,2326.9875,63367.3394741454
2014-09-01,1990.43181818182,32350.7386363636,6872.21590909091,18034.7954545455,2294.59090909091,63527.2318876587
2014-10-01,1946.18913043478,31142.4239130435,6737.47826086957,15812.3695652174,2276.82608695652,63666.2103463675
2014-11-01,2055.555,30752.1375,6712.85,15807.05,2253.225,63660.2571965017
2014-12-01,1909.45952380952,30945.2142857143,6446.45238095238,15962.0476190476,2175.7619047619,62990.8862086715
2015-01-01,1814.71904761905,30749.4761904762,5830.53571428571,14849.1904761905,2113.04761904762,62721.3323834831
2015-02-01,1817.82,29155.375,5729.275,14573.8375,2097.7625,62376.580078062
2015-03-01,1773.86363636364,27568.7840909091,5939.67045454546,13755.5,2028.72727272727,62504.8522794935
2015-04-01,1819.1875,28827.275,6042.0875,12830.925,2212.725,62879.0521644264
2015-05-01,1804.03947368421,30066.5789473684,6294.77631578947,13511.3421052632,2281.80263157895,62865.928170524
2015-06-01,1687.72727272727,30650.3863636364,5833.01136363636,12825.2272727273,2082.09090909091,65774.0440204481
2015-07-01,1639.5,31579.8695652174,5456.75,11413.097826087,2000.6847826087,66036.930135774
2015-08-01,1548.125,29243.95,5127.3,10386,1807.6375,64690.8205420109
2015-09-01,1589.60227272727,27714.3068181818,5217.25,9937.54545454545,1720.22727272727,64377.9536261471
2015-10-01,1516.48863636364,27499.0454545455,5216.09090909091,10316.8295454545,1724.34090909091,66928.6255085572
2015-11-01,1467.89285714286,24413.7023809524,4799.90476190476,9244.33333333333,1583.30952380952,69058.9900394369
2015-12-01,1497.20238095238,23951.1785714286,4638.83333333333,8707.78571428571,1527.78571428571,72882.4751693505
2016-01-01,1481.1,23134.6,4471.7875,8507.2875,1520.3625,72300.7382733825
2016-02-01,1531.2619047619,22275.880952381,4598.61904761905,8298.5,1709.84523809524,72545.6340181069
2016-03-01,1531.0119047619,22982.5238095238,4953.79761904762,8717.25,1801.69047619048,78006.3043066906
2016-04-01,1571.22619047619,23000.5,4872.7380952381,8878.85714285714,1855.37380952381,81775.7062180264
2016-05-01,1550.625,23413.625,4694.5375,8660.35,1869.025,103004.93617849
2016-06-01,1593.50681818182,23692.7272727273,4641.96590909091,8928.35227272727,2026.19318181818,106175.680628503
2016-07-01,1629.04761904762,25085.5238095238,4864.90476190476,10262.8571428571,2183.25,104821.547094399
2016-08-01,1639.28409090909,26296.5909090909,4751.67045454546,10335.9886363636,2279.13636363636,105275.510698965
2016-09-01,1592.36363636364,26625,4722.20454545455,10191.7840909091,2292.30681818182,104905.334389172
2016-10-01,1665.90476190476,28205.6666666667,4731.2619047619,10259.7380952381,2311.5,111785.540067889
2016-11-01,1737.11363636364,29258.4090909091,5450.93181818182,11128.9090909091,2566.20454545455,116946.236330511
2016-12-01,1727.7375,31589.375,5660.35,10972.275,2664.8125,115548.933688921
2017-01-01,1791.2380952381,34720.380952381,5754.55952380952,9971.46428571429,2714.79761904762,116016.211055313
2017-02-01,1860.75,43005,5940.9125,10643.3,2845.55,116384.730430675
2017-03-01,1901.46739130435,52765.2173913043,5824.63043478261,10204.6630434783,2776.88043478261,115996.79483266
2017-04-01,1921.22222222222,55305.5555555556,5683.90277777778,9609.27777777778,2614.91666666667,116089.77597792
2017-05-01,1913.02380952381,54941.9404761905,5599.55952380952,9155.11904761905,2590.21428571429,116156.845178383
2017-06-01,1885.28636363636,57449.4545454545,5719.76136363636,8931.76136363636,2573.39772727273,117521.678090076
2017-07-01,1902.96428571429,58548.9047619048,5985.11904761905,9491.39285714286,2787.19047619048,118117.027050482
2017-08-01,2030.01136363636,58465.1363636364,6485.625,10889.9772727273,2980.72727272727,119918.182559187
2017-09-01,2096.4880952381,60128.5,6577.16666666667,11215.7857142857,3116.85714285714,121812.670378812
2017-10-01,2131.48863636364,59905.8636363636,6807.60227272727,11335.7727272727,3264.60227272727,123644.601598074
2017-11-01,2097.44090909091,62118.0454545455,6826.54545454546,11972,3229.30681818182,130636.326734337
2017-12-01,2080.47368421053,72632.0526315789,6833.89473684211,11495.1052631579,3195.94736842105,138042.444957892
2018-01-01,2209.72727272727,77293.5227272727,7065.85227272727,12864.875,3441.52272727273,141477.97361574
2018-02-01,2181.7875,80792.6,7006.525,13595.875,3532.9,143975.769873261
2018-03-01,2069.2380952381,87614.9047619048,6799.17857142857,13392.5,3269.17857142857,143979.278202447
2018-04-01,2254.6875,90782.5,6851.5125,13938.1,3188.05,144462.566048228
2018-05-01,2299.66666666667,90250,6825.27380952381,14366.4880952381,3059.86904761905,142786.515013187
2018-06-01,2237.61904761905,81188.0952380952,6965.85714285714,15105.6547619048,3088.57142857143,144496.687155808
2018-07-01,2082.23863636364,70647.7272727273,6250.75,13793.8636363636,2656.125,136532.865158151
2018-08-01,2051.51136363636,63302.2954545455,6051.04545454546,13411.3522727273,2512,133596.226342018
2018-09-01,2026.4625,62210.325,6050.7625,12510.35,2434.675,130039.25727598
2018-10-01,2029.85869565217,60626.7826086957,6219.58695652174,12314.9130434783,2673.67391304348,126655.055759677
2018-11-01,1938.51136363636,54962.9318181818,6195.92045454546,11239.7159090909,2595.69318181818,126094.607344207
2018-12-01,1920.38157894737,55263.1578947368,6075.31578947368,10835.0789473684,2616.28947368421,120163.205685827
